date,ticker_1,ticker_2,ticker_3,ticker_4,ticker_5,ticker_6,ticker_7,ticker_8,ticker_9,ticker_10,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10
2009-12-31,CBRE,F,FITB,GNW,JBL,ODP,TGNA,THC,WYND,XL1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-04,CBRE,F,FITB,GNW,JBL,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-05,CBRE,F,FITB,GNW,JBL,ODP,TGNA,THC,WYND,XL1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-06,CBRE,FITB,GNW,JBL,MEE,ODP,TGNA,THC,WYND,XL1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-07,CBRE,F,FITB,GNW,JBL,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-08,CBRE,F,FITB,GNW,JBL,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-11,DD,F,FITB,GNW,JBL,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-12,DD,F,FITB,GNW,ISRG,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-13,DD,F,FITB,GNW,IP,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-14,F,FITB,GNW,LNC,MEE,ODP,TGNA,THC,TXT,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-15,F,FITB,GNW,LNC,MEE,ODP,TGNA,THC,TXT,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-19,F,FITB,GNW,HIG,LNC,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-20,F,FITB,GNW,HIG,LNC,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-21,F,FITB,GNW,IP,LNC,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-22,COF,FITB,GNW,IP,LNC,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-25,FITB,GNW,IP,ISRG,LNC,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-26,FITB,GNW,HBAN,IP,ISRG,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-27,F,FITB,GNW,IP,ISRG,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-28,F,FITB,GNW,IP,ISRG,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-01-29,FITB,GNW,IP,ISRG,LNC,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-01,F,FITB,GNW,IP,ISRG,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-02,F,FITB,GNW,IP,ISRG,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-03,F,FITB,GNW,IP,ISRG,LNC,MEE,ODP,TGNA,THC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-04,F,FITB,GNW,IP,LNC,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-05,F,FITB,GNW,IP,ISRG,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-08,COF,F,FITB,GNW,HIG,MEE,ODP,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-09,F,FITB,GNW,HIG,IP,ISRG,MEE,ODP,TGNA,THC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-10,F,FITB,GNW,HIG,LNC,MEE,ODP,SLM,TGNA,THC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-11,AIV,FITB,GNW,HIG,LNC,MEE,SLM,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-12,FITB,GNW,HIG,ISRG,LNC,MEE,SLM,TGNA,THC,WYND,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-16,AIV,AMD,FITB,GNW,HAR,ISRG,MEE,ODP,TGNA,THC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-17,AIV,FITB,GNW,HAR,ISRG,MEE,ODP,SLM,TGNA,THC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-18,AIV,FITB,GNW,HAR,HIG,ISRG,MEE,ODP,TGNA,THC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-19,BKNG,FITB,GNW,HAR,ISRG,LNC,MEE,ODP,TGNA,THC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2010-02-22,BKNG,FITB,GNW,HAR,ISRG,LNC,MEE,ODP,TGNA,THC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
